title,company,location,salary,description,source,date_scraped
Junior Data Engineer (m/f/d),Terra One,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:15:58
Senior Data Analyst,refurbed,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:00
Lead Data Analyst (f/m/d),BMG - The New Music Company,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:03
Data Analyst (0 Experience Required),Peroptyx,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:04
Data Analyst in part-time,Collaborative Marketing Club - CMC GmbH,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:06
Data Analyst*in,Stromnetz Berlin GmbH,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:07
"Senior Data Analyst (all genders) | Berlin, hybrid or remote",Aroundhome,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:10
Junior Data Engineer,GlassDollar,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:12
Data Analyst (m/w/d) Pricing,DocMorris,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:15
BI-Consultant (m/w/d) - Remote oder Berlin,xax managing data & information GmbH,"Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:17
Junior BI Consultant (m/w/d),TieTalent,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:19
(Senior) Data Analyst - Messstellenbetrieb (w/m/d),Enpal,"Berlin, Berlin, Germany",Not specified,No description available,LinkedIn,2024-12-04 15:16:21
